"GEO_ID","NAME","B15001_001E","B15001_001M","B15001_002E","B15001_002M","B15001_003E","B15001_003M","B15001_004E","B15001_004M","B15001_005E","B15001_005M","B15001_006E","B15001_006M","B15001_007E","B15001_007M","B15001_008E","B15001_008M","B15001_009E","B15001_009M","B15001_010E","B15001_010M","B15001_011E","B15001_011M","B15001_012E","B15001_012M","B15001_013E","B15001_013M","B15001_014E","B15001_014M","B15001_015E","B15001_015M","B15001_016E","B15001_016M","B15001_017E","B15001_017M","B15001_018E","B15001_018M","B15001_019E","B15001_019M","B15001_020E","B15001_020M","B15001_021E","B15001_021M","B15001_022E","B15001_022M","B15001_023E","B15001_023M","B15001_024E","B15001_024M","B15001_025E","B15001_025M","B15001_026E","B15001_026M","B15001_027E","B15001_027M","B15001_028E","B15001_028M","B15001_029E","B15001_029M","B15001_030E","B15001_030M","B15001_031E","B15001_031M","B15001_032E","B15001_032M","B15001_033E","B15001_033M","B15001_034E","B15001_034M","B15001_035E","B15001_035M","B15001_036E","B15001_036M","B15001_037E","B15001_037M","B15001_038E","B15001_038M","B15001_039E","B15001_039M","B15001_040E","B15001_040M","B15001_041E","B15001_041M","B15001_042E","B15001_042M","B15001_043E","B15001_043M","B15001_044E","B15001_044M","B15001_045E","B15001_045M","B15001_046E","B15001_046M","B15001_047E","B15001_047M","B15001_048E","B15001_048M","B15001_049E","B15001_049M","B15001_050E","B15001_050M","B15001_051E","B15001_051M","B15001_052E","B15001_052M","B15001_053E","B15001_053M","B15001_054E","B15001_054M","B15001_055E","B15001_055M","B15001_056E","B15001_056M","B15001_057E","B15001_057M","B15001_058E","B15001_058M","B15001_059E","B15001_059M","B15001_060E","B15001_060M","B15001_061E","B15001_061M","B15001_062E","B15001_062M","B15001_063E","B15001_063M","B15001_064E","B15001_064M","B15001_065E","B15001_065M","B15001_066E","B15001_066M","B15001_067E","B15001_067M","B15001_068E","B15001_068M","B15001_069E","B15001_069M","B15001_070E","B15001_070M","B15001_071E","B15001_071M","B15001_072E","B15001_072M","B15001_073E","B15001_073M","B15001_074E","B15001_074M","B15001_075E","B15001_075M","B15001_076E","B15001_076M","B15001_077E","B15001_077M","B15001_078E","B15001_078M","B15001_079E","B15001_079M","B15001_080E","B15001_080M","B15001_081E","B15001_081M","B15001_082E","B15001_082M","B15001_083E","B15001_083M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!18 to 24 years:","Margin of Error!!Total:!!Male:!!18 to 24 years:","Estimate!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!18 to 24 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Some college, no degree","Estimate!!Total:!!Male:!!18 to 24 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Associate's degree","Estimate!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!25 to 34 years:","Margin of Error!!Total:!!Male:!!25 to 34 years:","Estimate!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!25 to 34 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!25 to 34 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!25 to 34 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!25 to 34 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!25 to 34 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Some college, no degree","Estimate!!Total:!!Male:!!25 to 34 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Associate's degree","Estimate!!Total:!!Male:!!25 to 34 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!25 to 34 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!35 to 44 years:","Margin of Error!!Total:!!Male:!!35 to 44 years:","Estimate!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!35 to 44 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Some college, no degree","Estimate!!Total:!!Male:!!35 to 44 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Associate's degree","Estimate!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!45 to 64 years:","Margin of Error!!Total:!!Male:!!45 to 64 years:","Estimate!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!45 to 64 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Some college, no degree","Estimate!!Total:!!Male:!!45 to 64 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Associate's degree","Estimate!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!65 years and over:","Margin of Error!!Total:!!Male:!!65 years and over:","Estimate!!Total:!!Male:!!65 years and over:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!65 years and over:!!Less than 9th grade","Estimate!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!65 years and over:!!Some college, no degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Some college, no degree","Estimate!!Total:!!Male:!!65 years and over:!!Associate's degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Associate's degree","Estimate!!Total:!!Male:!!65 years and over:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Bachelor's degree","Estimate!!Total:!!Male:!!65 years and over:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Graduate or professional degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!18 to 24 years:","Margin of Error!!Total:!!Female:!!18 to 24 years:","Estimate!!Total:!!Female:!!18 to 24 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!18 to 24 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!18 to 24 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!18 to 24 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!18 to 24 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!18 to 24 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Some college, no degree","Estimate!!Total:!!Female:!!18 to 24 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Associate's degree","Estimate!!Total:!!Female:!!18 to 24 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!18 to 24 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!25 to 34 years:","Margin of Error!!Total:!!Female:!!25 to 34 years:","Estimate!!Total:!!Female:!!25 to 34 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!25 to 34 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!25 to 34 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!25 to 34 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Some college, no degree","Estimate!!Total:!!Female:!!25 to 34 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Associate's degree","Estimate!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!35 to 44 years:","Margin of Error!!Total:!!Female:!!35 to 44 years:","Estimate!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!35 to 44 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Some college, no degree","Estimate!!Total:!!Female:!!35 to 44 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Associate's degree","Estimate!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!45 to 64 years:","Margin of Error!!Total:!!Female:!!45 to 64 years:","Estimate!!Total:!!Female:!!45 to 64 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!45 to 64 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!45 to 64 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!45 to 64 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!45 to 64 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!45 to 64 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Some college, no degree","Estimate!!Total:!!Female:!!45 to 64 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Associate's degree","Estimate!!Total:!!Female:!!45 to 64 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!65 years and over:","Margin of Error!!Total:!!Female:!!65 years and over:","Estimate!!Total:!!Female:!!65 years and over:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!65 years and over:!!Less than 9th grade","Estimate!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!65 years and over:!!Some college, no degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Some college, no degree","Estimate!!Total:!!Female:!!65 years and over:!!Associate's degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Associate's degree","Estimate!!Total:!!Female:!!65 years and over:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Bachelor's degree","Estimate!!Total:!!Female:!!65 years and over:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Graduate or professional degree",
"1400000US06001400100","Census Tract 4001, Alameda County, California","2469","248","1231","170","19","18","0","13","0","13","14","16","5","9","0","13","0","13","0","13","167","85","0","13","0","13","0","13","0","13","0","13","122","62","45","35","130","47","0","13","0","13","0","13","0","13","0","13","70","42","60","33","583","146","0","13","0","13","18","22","63","61","13","19","200","93","289","108","332","79","7","12","34","32","12","13","7","10","0","13","75","49","197","53","1238","146","38","32","0","13","0","13","11","18","9","15","18","22","0","13","0","13","161","85","0","13","0","13","0","13","0","13","0","13","106","75","55","58","146","59","11","16","0","13","0","13","0","13","0","13","47","35","88","50","457","109","0","13","13","20","0","13","49","79","16","18","145","64","234","80","436","96","0","13","0","13","37","30","20","18","0","13","137","71","242","79",
"1400000US06001400200","Census Tract 4002, Alameda County, California","1659","192","837","114","18","14","0","13","0","13","0","13","13","13","0","13","5","7","0","13","256","87","0","13","10","23","8","17","10","13","21","26","136","72","71","41","140","55","0","13","0","13","0","13","8","12","0","13","77","33","55","42","216","69","8","11","0","13","32","37","36","29","0","13","84","36","56","33","207","54","0","13","0","13","19","30","11","16","3","7","11","12","163","44","822","114","36","23","0","13","0","13","6","11","11","12","4","6","15","16","0","13","207","79","0","13","0","13","0","13","0","13","0","13","80","50","127","68","105","34","0","13","0","13","0","13","5","8","0","13","21","16","79","33","250","51","0","13","0","13","6","9","6","9","9","13","88","40","141","36","224","48","0","13","0","13","22","26","11","12","6","9","48","21","137","40",
"1400000US06001400300","Census Tract 4003, Alameda County, California","4198","445","1923","270","98","78","0","19","0","19","47","69","19","24","10","16","22","25","0","19","513","151","0","19","0","19","29","33","0","19","42","58","313","119","129","75","323","111","0","19","0","19","0","19","0","19","3","7","174","83","146","79","729","168","0","19","19","31","13","20","171","121","20","31","235","143","271","133","260","109","0","19","0","19","23","27","53","83","16","24","33","37","135","82","2275","358","76","56","0","19","0","19","9","15","16","15","0","19","40","49","11","20","650","245","0","19","0","19","0","19","56","65","37","49","390","208","167","73","324","142","0","19","0","19","17","22","0","19","0","19","89","56","218","135","654","132","0","19","63","69","28","32","114","87","20","30","235","132","194","99","571","192","59","72","42","65","0","19","158","144","0","19","213","111","99","64",
"1400000US06001400400","Census Tract 4004, Alameda County, California","3297","357","1327","199","5","10","0","13","0","13","0","13","0","13","0","13","5","10","0","13","408","123","0","13","0","13","12","19","62","60","0","13","128","56","206","100","334","152","0","13","0","13","24","25","37","45","0","13","157","118","116","63","441","108","0","13","0","13","22","25","26","27","31","50","202","97","160","61","139","47","0","13","9","15","0","13","15","17","0","13","16","15","99","43","1970","257","135","68","0","13","0","13","49","53","34","33","0","13","52","37","0","13","650","206","0","13","26","35","41","42","81","48","46","45","325","147","131","61","364","130","44","55","8","19","14","21","48","50","0","13","54","35","196","71","508","132","0","13","0","13","52","49","23","27","8","14","182","75","243","101","313","72","36","51","12","18","11","17","61","41","0","13","84","51","109","50",
"1400000US06001400500","Census Tract 4005, Alameda County, California","3559","621","1516","192","303","190","0","13","24","36","101","74","32","30","31","47","115","152","0","13","316","98","0","13","0","13","10","22","6","9","19","29","166","71","115","64","365","110","0","13","0","13","93","76","23","29","0","13","134","46","115","61","427","80","0","13","0","13","57","55","101","47","39","35","104","48","126","52","105","55","10","16","0","13","3","8","0","13","0","13","56","34","36","40","2043","525","238","177","0","13","0","13","196","169","17","25","7","11","7","11","11","17","524","136","0","13","24","36","0","13","49","64","15","22","246","106","190","75","407","145","0","13","6","9","54","47","0","13","14","22","119","57","214","119","370","84","0","13","0","13","79","58","11","16","17","20","63","33","200","67","504","293","15","21","22","34","113","79","205","280","0","13","98","63","51","45",
"1400000US06001400600","Census Tract 4006, Alameda County, California","1534","217","625","102","52","53","0","13","0","13","5","10","17","20","0","13","0","13","30","45","180","57","0","13","0","13","33","37","5","10","0","13","102","41","40","30","129","54","0","13","0","13","20","23","39","35","0","13","45","24","25","17","202","60","8","11","0","13","7","11","38","31","14","17","81","43","54","32","62","43","0","13","0","13","28","43","16","14","8","10","0","13","10","10","909","177","172","98","0","13","11","17","32","25","49","41","0","13","59","65","21","22","235","68","0","13","0","13","0","13","12","15","6","9","172","58","45","34","228","118","0","13","0","13","0","13","53","65","0","13","77","55","98","37","145","49","0","13","8","14","0","13","41","32","7","10","45","36","44","26","129","53","16","18","0","13","13","15","47","38","5","9","24","25","24","18",
"1400000US06001400700","Census Tract 4007, Alameda County, California","4207","441","1956","408","92","53","0","19","0","19","0","19","25","26","0","19","67","51","0","19","790","324","124","194","0","19","57","87","54","40","8","17","403","142","144","99","515","139","32","50","0","19","70","76","48","55","47","61","212","79","106","46","384","86","2","6","0","19","96","55","107","62","36","56","76","48","67","38","175","68","0","19","0","19","3","6","89","54","11","14","55","33","17","25","2251","260","94","67","0","19","8","12","0","19","51","41","0","19","35","36","0","19","754","191","0","19","30","48","0","19","157","111","0","19","380","132","187","70","371","118","0","19","0","19","0","19","146","94","9","15","82","56","134","64","725","155","0","19","0","19","47","47","189","87","57","50","241","83","191","110","307","94","0","19","11","14","65","49","134","63","41","42","22","21","34","36",
"1400000US06001400800","Census Tract 4008, Alameda County, California","3345","385","1710","267","122","82","0","13","15","27","0","13","89","81","0","13","18","29","0","13","563","188","0","13","18","30","34","31","39","55","35","40","336","191","101","60","252","95","0","13","0","13","14","24","40","38","12","19","82","54","104","77","623","198","0","13","8","16","179","157","92","58","16","24","171","106","157","79","150","122","19","25","12","21","0","13","13","16","14","19","79","116","13","20","1635","257","113","109","14","23","0","13","0","13","14","22","9","19","76","106","0","13","589","228","0","13","0","13","69","63","222","195","19","29","218","130","61","37","346","124","0","13","0","13","49","63","41","42","12","19","143","68","101","81","325","59","0","13","8","16","126","60","21","23","0","13","62","43","108","57","262","100","15","23","0","13","45","42","59","47","34","43","14","15","95","68",
"1400000US06001400900","Census Tract 4009, Alameda County, California","2391","377","1159","234","200","126","0","13","56","87","44","49","53","59","0","13","47","37","0","13","351","113","0","13","0","13","46","43","62","48","27","30","171","88","45","55","229","82","0","13","36","39","32","42","59","51","24","28","57","37","21","25","306","126","18","28","0","13","105","75","40","41","11","17","71","45","61","74","73","56","7","12","19","29","0","13","40","46","7","11","0","13","0","13","1232","226","138","96","14","23","0","13","45","44","39","63","0","13","40","48","0","13","356","116","0","13","11","16","33","43","81","61","7","11","154","65","70","43","303","85","13","20","22","35","105","77","34","36","0","13","52","31","77","42","306","99","0","13","16","25","0","13","152","87","7","10","64","42","67","39","129","74","22","27","0","13","7","11","43","52","19","29","28","21","10","15",
