"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US06001400100","Census Tract 4001; Alameda County; California","3269","452","2385","450","171","120","0","13","477","110","0","13","25","29","211","106","54","51","157","83",
"1400000US06001400200","Census Tract 4002; Alameda County; California","2147","201","1535","207","38","36","9","16","251","102","0","13","25","29","289","87","107","70","182","73",
"1400000US06001400300","Census Tract 4003; Alameda County; California","5619","571","3403","399","529","216","26","27","635","196","0","19","424","286","602","300","162","129","440","248",
"1400000US06001400400","Census Tract 4004; Alameda County; California","4278","598","2832","609","525","274","23","30","373","112","0","13","77","61","448","161","171","139","277","86",
"1400000US06001400500","Census Tract 4005; Alameda County; California","3949","737","1778","288","1000","679","4","8","376","161","6","10","298","188","487","180","133","90","354","203",
"1400000US06001400600","Census Tract 4006; Alameda County; California","2058","301","939","177","539","182","21","25","131","65","14","22","84","54","330","167","0","13","330","167",
"1400000US06001400700","Census Tract 4007; Alameda County; California","4758","572","2420","446","1112","293","118","120","398","134","0","13","113","71","597","192","132","102","465","146",
"1400000US06001400800","Census Tract 4008; Alameda County; California","4335","593","2241","460","664","186","59","76","695","274","9","16","246","204","421","203","195","171","226","123",
"1400000US06001400900","Census Tract 4009; Alameda County; California","2844","496","1104","279","710","311","46","75","174","123","0","13","395","335","415","194","158","136","257","138",
"1400000US06001401000","Census Tract 4010; Alameda County; California","6277","896","2436","556","1478","737","72","68","464","234","42","44","781","694","1004","461","433","273","571","408",
"1400000US06001401100","Census Tract 4011; Alameda County; California","5537","544","2436","439","940","412","0","19","1005","262","11","18","516","265","629","356","0","19","629","356",
"1400000US06001401200","Census Tract 4012; Alameda County; California","2994","329","1864","329","239","136","0","13","458","167","0","13","93","74","340","118","95","77","245","115",
"1400000US06001401300","Census Tract 4013; Alameda County; California","4608","404","1781","326","1333","368","27","29","835","307","0","13","140","71","492","187","170","89","322","182",
