"GEO_ID","NAME","B15001_001E","B15001_001M","B15001_002E","B15001_002M","B15001_003E","B15001_003M","B15001_004E","B15001_004M","B15001_005E","B15001_005M","B15001_006E","B15001_006M","B15001_007E","B15001_007M","B15001_008E","B15001_008M","B15001_009E","B15001_009M","B15001_010E","B15001_010M","B15001_011E","B15001_011M","B15001_012E","B15001_012M","B15001_013E","B15001_013M","B15001_014E","B15001_014M","B15001_015E","B15001_015M","B15001_016E","B15001_016M","B15001_017E","B15001_017M","B15001_018E","B15001_018M","B15001_019E","B15001_019M","B15001_020E","B15001_020M","B15001_021E","B15001_021M","B15001_022E","B15001_022M","B15001_023E","B15001_023M","B15001_024E","B15001_024M","B15001_025E","B15001_025M","B15001_026E","B15001_026M","B15001_027E","B15001_027M","B15001_028E","B15001_028M","B15001_029E","B15001_029M","B15001_030E","B15001_030M","B15001_031E","B15001_031M","B15001_032E","B15001_032M","B15001_033E","B15001_033M","B15001_034E","B15001_034M","B15001_035E","B15001_035M","B15001_036E","B15001_036M","B15001_037E","B15001_037M","B15001_038E","B15001_038M","B15001_039E","B15001_039M","B15001_040E","B15001_040M","B15001_041E","B15001_041M","B15001_042E","B15001_042M","B15001_043E","B15001_043M","B15001_044E","B15001_044M","B15001_045E","B15001_045M","B15001_046E","B15001_046M","B15001_047E","B15001_047M","B15001_048E","B15001_048M","B15001_049E","B15001_049M","B15001_050E","B15001_050M","B15001_051E","B15001_051M","B15001_052E","B15001_052M","B15001_053E","B15001_053M","B15001_054E","B15001_054M","B15001_055E","B15001_055M","B15001_056E","B15001_056M","B15001_057E","B15001_057M","B15001_058E","B15001_058M","B15001_059E","B15001_059M","B15001_060E","B15001_060M","B15001_061E","B15001_061M","B15001_062E","B15001_062M","B15001_063E","B15001_063M","B15001_064E","B15001_064M","B15001_065E","B15001_065M","B15001_066E","B15001_066M","B15001_067E","B15001_067M","B15001_068E","B15001_068M","B15001_069E","B15001_069M","B15001_070E","B15001_070M","B15001_071E","B15001_071M","B15001_072E","B15001_072M","B15001_073E","B15001_073M","B15001_074E","B15001_074M","B15001_075E","B15001_075M","B15001_076E","B15001_076M","B15001_077E","B15001_077M","B15001_078E","B15001_078M","B15001_079E","B15001_079M","B15001_080E","B15001_080M","B15001_081E","B15001_081M","B15001_082E","B15001_082M","B15001_083E","B15001_083M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!18 to 24 years:","Margin of Error!!Total:!!Male:!!18 to 24 years:","Estimate!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!18 to 24 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!18 to 24 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!18 to 24 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Some college, no degree","Estimate!!Total:!!Male:!!18 to 24 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Associate's degree","Estimate!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!18 to 24 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!25 to 34 years:","Margin of Error!!Total:!!Male:!!25 to 34 years:","Estimate!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!25 to 34 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!25 to 34 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!25 to 34 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!25 to 34 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!25 to 34 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Some college, no degree","Estimate!!Total:!!Male:!!25 to 34 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Associate's degree","Estimate!!Total:!!Male:!!25 to 34 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!25 to 34 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!25 to 34 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!35 to 44 years:","Margin of Error!!Total:!!Male:!!35 to 44 years:","Estimate!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!35 to 44 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!35 to 44 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!35 to 44 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Some college, no degree","Estimate!!Total:!!Male:!!35 to 44 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Associate's degree","Estimate!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!35 to 44 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!45 to 64 years:","Margin of Error!!Total:!!Male:!!45 to 64 years:","Estimate!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Less than 9th grade","Estimate!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!45 to 64 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!45 to 64 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!45 to 64 years:!!Some college, no degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Some college, no degree","Estimate!!Total:!!Male:!!45 to 64 years:!!Associate's degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Associate's degree","Estimate!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Bachelor's degree","Estimate!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!45 to 64 years:!!Graduate or professional degree","Estimate!!Total:!!Male:!!65 years and over:","Margin of Error!!Total:!!Male:!!65 years and over:","Estimate!!Total:!!Male:!!65 years and over:!!Less than 9th grade","Margin of Error!!Total:!!Male:!!65 years and over:!!Less than 9th grade","Estimate!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Male:!!65 years and over:!!9th to 12th grade, no diploma","Estimate!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Male:!!65 years and over:!!High school graduate (includes equivalency)","Estimate!!Total:!!Male:!!65 years and over:!!Some college, no degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Some college, no degree","Estimate!!Total:!!Male:!!65 years and over:!!Associate's degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Associate's degree","Estimate!!Total:!!Male:!!65 years and over:!!Bachelor's degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Bachelor's degree","Estimate!!Total:!!Male:!!65 years and over:!!Graduate or professional degree","Margin of Error!!Total:!!Male:!!65 years and over:!!Graduate or professional degree","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!18 to 24 years:","Margin of Error!!Total:!!Female:!!18 to 24 years:","Estimate!!Total:!!Female:!!18 to 24 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!18 to 24 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!18 to 24 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!18 to 24 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!18 to 24 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!18 to 24 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Some college, no degree","Estimate!!Total:!!Female:!!18 to 24 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Associate's degree","Estimate!!Total:!!Female:!!18 to 24 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!18 to 24 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!18 to 24 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!25 to 34 years:","Margin of Error!!Total:!!Female:!!25 to 34 years:","Estimate!!Total:!!Female:!!25 to 34 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!25 to 34 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!25 to 34 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!25 to 34 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!25 to 34 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Some college, no degree","Estimate!!Total:!!Female:!!25 to 34 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Associate's degree","Estimate!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!25 to 34 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!35 to 44 years:","Margin of Error!!Total:!!Female:!!35 to 44 years:","Estimate!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!35 to 44 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!35 to 44 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!35 to 44 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Some college, no degree","Estimate!!Total:!!Female:!!35 to 44 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Associate's degree","Estimate!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!35 to 44 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!45 to 64 years:","Margin of Error!!Total:!!Female:!!45 to 64 years:","Estimate!!Total:!!Female:!!45 to 64 years:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Less than 9th grade","Estimate!!Total:!!Female:!!45 to 64 years:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!45 to 64 years:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!45 to 64 years:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!45 to 64 years:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!45 to 64 years:!!Some college, no degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Some college, no degree","Estimate!!Total:!!Female:!!45 to 64 years:!!Associate's degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Associate's degree","Estimate!!Total:!!Female:!!45 to 64 years:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Bachelor's degree","Estimate!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!45 to 64 years:!!Graduate or professional degree","Estimate!!Total:!!Female:!!65 years and over:","Margin of Error!!Total:!!Female:!!65 years and over:","Estimate!!Total:!!Female:!!65 years and over:!!Less than 9th grade","Margin of Error!!Total:!!Female:!!65 years and over:!!Less than 9th grade","Estimate!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma","Margin of Error!!Total:!!Female:!!65 years and over:!!9th to 12th grade, no diploma","Estimate!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Female:!!65 years and over:!!High school graduate (includes equivalency)","Estimate!!Total:!!Female:!!65 years and over:!!Some college, no degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Some college, no degree","Estimate!!Total:!!Female:!!65 years and over:!!Associate's degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Associate's degree","Estimate!!Total:!!Female:!!65 years and over:!!Bachelor's degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Bachelor's degree","Estimate!!Total:!!Female:!!65 years and over:!!Graduate or professional degree","Margin of Error!!Total:!!Female:!!65 years and over:!!Graduate or professional degree",
"1400000US06001400100","Census Tract 4001; Alameda County; California","2608","285","1249","178","31","49","0","13","0","13","0","13","9","14","0","13","22","35","0","13","156","80","0","13","0","13","11","19","13","19","0","13","95","60","37","34","100","47","0","13","0","13","0","13","0","13","0","13","59","46","41","33","599","155","0","13","0","13","18","21","26","40","22","25","187","96","346","115","363","77","0","13","33","38","0","13","31","47","10","16","75","45","214","56","1359","183","55","46","0","13","0","13","10","15","22","25","11","18","12","18","0","13","112","62","0","13","0","13","0","13","12","19","0","13","66","49","34","25","229","76","9","14","0","13","0","13","45","55","10","16","74","48","91","57","442","146","0","13","13","20","0","13","85","96","8","14","178","65","158","56","521","110","0","13","0","13","45","43","0","13","10","16","212","97","254","81",
"1400000US06001400200","Census Tract 4002; Alameda County; California","1797","191","916","121","26","20","0","13","0","13","0","13","18","18","0","13","8","14","0","13","219","87","0","13","3","18","12","41","8","13","21","26","129","68","46","30","174","42","0","13","0","13","0","13","10","15","0","13","90","35","74","38","254","81","0","13","0","13","53","40","19","17","0","13","114","44","68","34","243","51","0","13","0","13","9","11","0","13","0","13","26","19","208","51","881","116","31","23","0","13","0","13","11","12","7","10","0","13","13","18","0","13","172","94","0","13","0","13","0","13","0","13","14","20","63","48","95","84","145","38","0","13","0","13","0","13","0","13","0","13","42","23","103","35","223","46","0","13","0","13","7","10","0","13","0","13","61","35","155","36","310","61","35","42","12","13","17","27","12","12","5","7","74","36","155","41",
"1400000US06001400300","Census Tract 4003; Alameda County; California","4677","464","2251","403","102","72","0","19","18","29","51","61","6","11","0","19","27","33","0","19","734","289","0","19","0","19","50","55","0","19","98","105","321","108","265","259","407","123","0","19","0","19","0","19","0","19","21","26","256","109","130","80","695","194","0","19","49","40","2","3","111","104","0","19","301","110","232","125","313","127","0","19","0","19","13","22","65","79","0","19","59","54","176","88","2426","307","61","55","0","19","23","35","0","19","15","12","0","19","23","39","0","19","688","245","0","19","0","19","20","48","19","32","21","29","442","195","186","87","354","99","0","19","24","37","43","41","0","19","0","19","132","72","155","72","720","123","32","48","76","71","23","29","63","78","0","19","180","85","346","156","603","154","0","19","0","19","0","19","160","127","12","19","253","90","178","102",
"1400000US06001400400","Census Tract 4004; Alameda County; California","3337","395","1540","212","8","13","0","13","0","13","0","13","0","13","0","13","8","13","0","13","342","132","0","13","0","13","33","30","37","45","0","13","123","73","149","76","474","167","0","13","0","13","25","29","56","58","9","14","229","128","155","79","510","103","0","13","12","32","13","21","22","26","48","59","192","87","223","84","206","61","0","13","0","13","0","13","51","33","17","19","36","23","102","43","1797","253","74","53","0","13","10","16","19","29","12","19","0","13","33","32","0","13","498","174","0","13","0","13","23","30","49","44","23","33","284","141","119","60","399","125","46","58","0","13","59","46","47","45","16","25","42","31","189","90","482","118","0","13","0","13","67","59","33","37","5","9","143","72","234","95","344","70","10","16","10","16","0","13","74","47","0","13","128","61","122","49",
"1400000US06001400500","Census Tract 4005; Alameda County; California","3453","736","1524","288","241","201","0","13","0","13","60","74","60","56","31","45","90","150","0","13","337","96","11","19","6","10","22","24","5","10","0","13","175","70","118","57","452","144","0","13","0","13","66","69","45","55","22","33","162","70","157","85","324","77","0","13","0","13","48","51","29","27","34","29","122","47","91","56","170","69","8","13","0","13","0","13","39","39","13","20","70","42","40","41","1929","562","199","171","0","13","0","13","144","162","42","36","6","10","7","11","0","13","457","134","0","13","0","13","20","24","48","63","23","29","202","82","164","53","488","149","0","13","6","9","62","52","17","20","10","16","156","80","237","137","306","81","0","13","17","27","69","59","14","20","4","7","72","44","130","55","479","278","17","23","0","13","50","53","240","262","0","13","96","63","76","52",
"1400000US06001400600","Census Tract 4006; Alameda County; California","1723","248","773","117","39","39","0","13","0","13","10","14","29","31","0","13","0","13","0","13","218","74","6","11","12","18","31","37","20","20","0","13","113","44","36","26","165","55","0","13","15","22","32","28","21","30","17","24","53","44","27","20","313","81","2","5","0","13","6","10","57","40","26","26","116","54","106","46","38","43","0","13","0","13","35","43","3","7","0","13","0","13","0","13","950","188","118","83","0","13","0","13","27","22","57","46","0","13","25","31","9","12","206","57","0","13","0","13","0","13","13","16","0","13","126","47","67","39","245","126","12","17","0","13","0","13","71","71","0","13","88","57","74","42","259","90","0","13","8","13","31","30","39","35","13","16","57","41","111","53","122","33","7","10","0","13","11","14","56","34","5","8","32","26","11","11",
"1400000US06001400700","Census Tract 4007; Alameda County; California","3922","469","1655","329","173","105","0","13","9","15","12","19","97","98","0","13","55","47","0","13","388","212","0","13","0","13","87","126","0","13","0","13","160","95","141","104","499","135","0","13","0","13","0","13","27","32","92","88","169","67","211","89","414","114","0","13","22","33","52","46","146","74","0","13","89","62","105","56","181","71","9","14","0","13","5","10","76","50","0","13","63","39","28","27","2267","248","57","41","0","13","10","17","11","18","30","31","6","12","0","13","0","13","687","218","0","13","0","13","31","45","98","122","11","18","368","144","179","68","457","108","0","13","0","13","0","13","81","76","13","20","167","75","196","73","772","152","0","13","6","9","60","51","160","90","36","32","233","102","277","116","294","129","3","15","0","13","29","36","107","79","55","74","37","34","63","57",
"1400000US06001400800","Census Tract 4008; Alameda County; California","3786","576","2016","334","113","78","0","13","0","13","7","14","106","80","0","13","0","13","0","13","585","192","0","13","0","13","63","51","0","13","47","54","355","162","120","76","321","110","0","13","0","13","0","13","23","27","0","13","116","61","182","101","768","251","8","14","14","20","138","160","113","80","0","13","280","142","215","115","229","144","53","55","0","13","26","47","6","11","20","24","81","117","43","34","1770","330","187","153","0","13","2","10","0","13","0","13","14","21","171","147","0","13","671","289","35","43","0","13","60","56","223","229","52","47","201","133","100","57","220","96","0","13","0","13","13","19","0","13","0","13","111","66","96","71","366","108","8","13","14","20","113","57","21","22","0","13","44","37","166","103","326","109","19","30","0","13","33","39","106","63","5","10","29","26","134","84",
"1400000US06001400900","Census Tract 4009; Alameda County; California","2384","417","1096","232","127","118","0","13","60","90","35","56","32","54","0","13","0","13","0","13","307","112","0","13","0","13","26","40","50","47","37","33","137","78","57","64","299","117","2","2","29","46","29","38","85","84","31","34","104","64","19","22","315","124","0","13","0","13","98","77","32","40","0","13","119","66","66","79","48","42","0","13","21","34","10","15","8","13","0","13","0","13","9","13","1288","240","148","109","17","28","0","13","41","47","90","91","0","13","0","13","0","13","374","115","0","13","0","13","42","59","62","55","10","15","162","82","98","56","325","113","9","16","25","38","135","84","38","41","9","13","32","27","77","43","353","106","0","13","0","13","0","13","177","83","51","48","66","55","59","34","88","66","0","13","0","13","0","13","33","50","21","34","34","29","0","13",
"1400000US06001401000","Census Tract 4010; Alameda County; California","5241","747","2631","441","67","76","0","19","0","19","25","41","0","19","0","19","42","64","0","19","876","308","8","20","4","12","52","59","39","63","19","31","590","277","164","87","812","299","74","90","56","68","75","79","178","125","50","79","258","158","121","73","688","166","40","45","31","46","43","45","174","115","64","77","223","138","113","79","188","102","84","108","11","19","10","17","26","30","0","19","37","35","20","27","2610","483","229","219","0","19","72","74","0","19","140","215","17","30","0","19","0","19","842","268","0","19","50","67","25","34","99","77","102","117","387","211","179","129","511","196","65","79","62","67","36","74","0","19","53","67","162","91","133","88","780","228","13","22","18","29","57","47","221","143","67","75","140","86","264","188","248","82","37","55","31","38","86","63","23","28","25","41","20","26","26","22",
"1400000US06001401100","Census Tract 4011; Alameda County; California","4773","454","2295","269","184","109","0","19","105","94","42","58","0","19","0","19","37","50","0","19","746","233","53","87","0","19","0","19","127","136","0","19","269","113","297","163","601","161","0","19","93","87","19","28","78","81","20","36","161","89","230","124","643","148","46","75","20","32","13","22","193","103","43","67","208","122","120","94","121","64","0","19","46","51","0","19","14","26","14","23","33","39","14","22","2478","396","274","209","0","19","0","19","19","31","59","93","3","13","174","167","19","30","923","328","0","19","54","57","0","19","0","19","0","19","541","304","328","157","436","136","0","19","33","47","24","38","40","44","24","39","156","73","159","79","545","149","12","23","0","19","106","85","114","115","24","38","210","119","79","80","300","88","0","19","67","67","56","61","28","34","41","99","56","64","52","42",
"1400000US06001401200","Census Tract 4012; Alameda County; California","2673","294","1335","211","64","41","0","13","10","17","10","17","0","13","0","13","44","35","0","13","445","134","0","13","0","13","0","13","28","44","29","36","186","90","202","85","269","112","11","19","0","13","10","14","18","23","18","21","54","43","158","86","351","85","0","13","23","34","25","39","17","21","43","42","123","55","120","60","206","58","0","13","0","13","0","13","73","78","0","13","87","57","46","42","1338","181","86","68","0","13","0","13","0","13","28","32","0","13","58","51","0","13","538","149","0","13","0","13","0","13","92","107","25","28","249","72","172","79","255","88","0","13","0","13","0","13","8","12","15","23","116","70","116","51","337","72","0","13","61","54","12","20","31","37","46","56","91","57","96","47","122","41","13","21","0","13","0","13","21","27","13","20","46","37","29","31",
"1400000US06001401300","Census Tract 4013; Alameda County; California","4231","403","2207","347","64","84","0","13","0","13","1","3","9","13","0","13","54","82","0","13","858","267","9","167","9","21","41","60","200","127","0","13","471","207","128","79","287","98","0","13","7","13","43","47","33","36","41","39","89","73","74","46","714","284","53","80","61","84","121","85","135","113","11","19","145","109","188","138","284","222","37","116","12","18","109","122","8","18","32","41","17","21","69","55","2024","265","204","140","0","13","0","13","18","31","29","47","42","47","115","113","0","13","773","199","0","13","0","13","42","66","156","107","41","40","388","133","146","81","430","162","0","13","0","13","29","34","21","33","81","77","145","92","154","80","379","108","0","13","29","45","100","61","100","69","14","17","82","55","54","41","238","69","23","29","24","23","93","63","32","28","0","13","26","34","40","40",
"1400000US06001401400","Census Tract 4014; Alameda County; California","4652","758","2528","721","483","344","0","19","0","19","141","94","106","76","0","19","236","296","0","19","891","391","41","48","0","19","91","98","198","177","69","53","296","119","196","170","491","183","33","75","56","65","177","91","32","29","26","42","120","77","47","64","477","210","39","61","113","88","18","28","103","113","39","58","103","68","62","49","186","105","65","69","42","63","31","57","20","31","0","19","12","18","16","24","2124","400","334","187","0","19","70","92","97","92","63","64","0","19","104","81","0","19","731","212","12","18","0","19","110","72","187","106","32","36","325","162","65","51","373","118","35","43","24","37","22","31","41","45","36","45","113","75","102","75","448","142","25","39","21","26","39","40","100","77","49","42","201","116","13","17","238","106","96","59","0","19","27","27","58","50","19","25","0","19","38","38",
"1400000US06001401500","Census Tract 4015; Alameda County; California","2560","461","1494","347","131","109","0","13","29","41","0","13","42","50","0","13","60","55","0","13","615","252","5","8","5","8","138","118","191","122","54","64","196","98","26","25","217","80","0","13","0","13","78","72","18","18","0","13","76","48","45","33","456","113","34","32","84","63","168","80","81","58","10","16","52","36","27","34","75","47","6","9","0","13","0","13","37","38","0","13","27","27","5","7","1066","193","75","46","0","13","14","22","9","13","14","17","12","18","15","18","11","16","338","126","0","13","0","13","83","80","73","69","8","12","144","69","30","27","173","92","5","9","0","13","47","60","3","5","40","41","43","33","35","27","379","112","5","8","46","47","95","53","95","70","6","9","45","32","87","57","101","56","0","13","3","2","27","26","28","32","4","6","39","38","0","13",
"1400000US06001401600","Census Tract 4016; Alameda County; California","1901","295","969","233","133","73","0","13","0","13","23","26","93","63","17","21","0","13","0","13","354","132","13","21","17","23","65","35","98","74","0","13","139","66","22","22","183","99","0","13","15","24","0","13","19","21","39","61","52","33","58","55","241","96","49","57","60","73","26","25","28","23","34","27","6","9","38","29","58","46","0","13","0","13","30","39","18","19","0","13","0","13","10","13","932","138","64","61","0","13","0","13","30","50","11","17","0","13","23","30","0","13","392","116","8","11","0","13","76","56","40","39","34","34","137","68","97","51","150","59","14","21","0","13","21","29","2","3","20","28","62","43","31","22","262","91","19","22","3","5","24","26","136","75","17","22","42","40","21","19","64","51","0","13","7","11","11","13","26","42","0","13","0","13","20","27",
"1400000US06001401700","Census Tract 4017; Alameda County; California","2807","347","1511","308","25","24","0","13","0","13","0","13","11","17","0","13","14","17","0","13","343","153","0","13","10","17","92","106","42","34","8","12","125","68","66","46","618","181","0","13","0","13","164","108","90","89","35","33","261","110","68","51","449","112","81","62","27","41","39","53","40","38","12","18","193","86","57","41","76","61","0","13","0","13","26","43","4","9","0","13","27","33","19","28","1296","201","72","44","0","13","0","13","0","13","26","35","0","13","46","41","0","13","417","142","0","13","0","13","11","18","104","103","28","34","185","76","89","60","371","158","0","13","37","78","10","15","15","24","0","13","155","94","154","82","380","93","5","9","0","13","17","28","84","66","41","45","104","58","129","71","56","57","0","13","0","13","3","8","38","47","0","13","4","11","11","19",
"1400000US06001401800","Census Tract 4018; Alameda County; California","1376","184","716","127","78","57","0","13","0","13","16","17","34","50","0","13","28","31","0","13","224","83","0","13","12","19","41","29","35","33","32","31","99","58","5","9","188","71","0","13","0","13","0","13","38","40","11","17","72","51","67","42","166","63","11","17","21","25","33","35","30","31","8","12","44","37","19","22","60","26","0","13","0","13","9","15","0","13","0","13","51","27","0","13","660","150","55","37","0","13","0","13","10","17","37","27","0","13","8","19","0","13","221","82","0","13","0","13","0","13","48","34","22","28","122","67","29","26","165","67","0","13","27","39","0","13","63","47","0","13","25","32","50","32","152","71","11","17","15","18","25","26","61","56","0","13","30","30","10","15","67","39","0","13","0","13","27","25","19","22","0","13","14","22","7","14",
"1400000US06001402200","Census Tract 4022; Alameda County; California","2020","354","1088","257","54","52","0","13","0","13","10","15","44","49","0","13","0","13","0","13","422","141","0","13","0","13","82","48","60","48","12","18","268","139","0","13","278","117","0","13","16","20","31","44","53","39","23","26","133","84","22","19","238","68","49","48","9","12","73","41","10","12","0","13","86","43","11","16","96","31","18","13","27","26","16","20","22","18","0","13","8","12","5","7","932","186","106","62","0","13","17","25","65","54","24","23","0","13","0","13","0","13","317","158","0","13","0","13","21","23","31","36","20","23","185","141","60","30","182","62","20","21","0","13","30","36","31","22","12","13","47","31","42","28","176","79","23","20","15","15","69","72","31","22","13","14","7","10","18","19","151","50","38","26","11","17","25","32","15","15","15","20","23","26","24","19",
